,0,1,2,3,4,5
0,2022年5月29日,举目仰望天堂，在地上走正义路,https://www.youtube.com/watch?v=j_zW1p6LcvY,诗篇 25,https://www.biblegateway.com/passage/?search=Psalm25&version=CUVS;NKJV,Mike Whittle 牧师
1,2022年5月22日,只有你最好的朋友会告诉你,https://www.youtube.com/watch?v=T78otd61mB4,罗马书 7:7-25,https://www.biblegateway.com/passage/?search=romans7:7-25&version=CUVS;NKJV,Mike Whittle 牧师
2,2022年5月15日,如何处置我们的忧虑,https://www.youtube.com/watch?v=ddbJPkyXHds,彼得前书 5:6-11,https://www.biblegateway.com/passage/?search=1Peter5:6-11&version=CUVS;NKJV,Mike Whittle 牧师
3,2022年5月8日,宝血活泉,https://www.youtube.com/watch?v=bDt07wo4T_0,撒迦利亚书 13,https://www.biblegateway.com/passage/?search=Zechariah13&version=CUVS;NKJV,Mike Whittle 牧师
4,2022年5月1日,真理是什么呢？,https://www.youtube.com/watch?v=c3Q9luWvYPs,约翰福音 18:33-38,https://www.biblegateway.com/passage/?search=john18:33-38&version=CUVS;NKJV,杨鹤皋牧师
5,2022年4月24日,不义的管家,https://www.youtube.com/watch?v=TnNrx0ajv1Y,路加福音 16:1-9,https://www.biblegateway.com/passage/?search=Luke16:1-9&version=CUVS;NKJV,Tim Grieves 牧师
6,2022年4月17日,我们将与他同活,https://www.youtube.com/watch?v=x8W94PtE2JI,罗马书 6:8-11,https://www.biblegateway.com/passage/?search=romans6:8-11&version=CUVS;NKJV,Mike Whittle 牧师
7,2022年4月10日,蒙拣选的人,https://www.youtube.com/watch?v=S0u-sGdjLno,帖撒罗尼迦前书 1:1-10,https://www.biblegateway.com/passage/?search=1Thessalonians1:1-10&version=CUVS;NKJV,宋胜牧师
8,2022年4月3日,对基督之死的反应,https://www.youtube.com/watch?v=h9rRacI56P4,约翰福音 19:28-37,https://www.biblegateway.com/passage/?search=john19:28-37&version=CUVS;NKJV,Mike Whittle 牧师
9,2022年3月27日,律法先生和恩典先生,https://www.youtube.com/watch?v=xtIJziBRhA4,罗马书 7:1-6,https://www.biblegateway.com/passage/?search=romans7:1-6&version=CUVS;NKJV,Mike Whittle 牧师
10,2022年3月20日,对付愤怒的酸噬,https://www.youtube.com/watch?v=_h078uNp0h8,马太福音 5:22-25,https://www.biblegateway.com/passage/?search=Matthew5:22-25&version=CUVS;NKJV,Mike Whittle 牧师
11,2022年3月13日,良仆或恶奴？,https://www.youtube.com/watch?v=yvlkNQlSjW8,罗马书 6:15-23,https://www.biblegateway.com/passage/?search=romans6:15-23&version=CUVS;NKJV,Mike Whittle 牧师
12,2022年3月6日,信者的脚踪,https://www.youtube.com/watch?v=lCZw_vmhNpI,诗篇 40:1-3,https://www.biblegateway.com/passage/?search=Psalm40:1-3&version=CUVS;NKJV,Mike Whittle 牧师
13,2022年2月27日,记得我们的名字,https://www.youtube.com/watch?v=z2P3YDdk8ck,罗马书 6:11-14,https://www.biblegateway.com/passage/?search=romans6:11-14&version=CUVS;NKJV,Mike Whittle 牧师
14,2022年2月20日,你真的爱我吗？,https://www.youtube.com/watch?v=VEIzNwt7Wyg,约翰福音 21:15-19,https://www.biblegateway.com/passage/?search=john21:15-19&version=CUVS;NKJV,Mike Whittle 牧师
15,2022年2月13日,地下室里的老者,https://www.youtube.com/watch?v=P-iHT4n-3I0,罗马书 6:5-10,https://www.biblegateway.com/passage/?search=romans6:5-10&version=CUVS;NKJV,Mike Whittle 牧师
16,2022年2月6日,狮子和圣经,https://www.youtube.com/watch?v=eew6ddviIaM,启示录 5:1-10,https://www.biblegateway.com/passage/?search=Revelation5:1-10&version=CUVS;NKJV,Mike Whittle 牧师
17,2022年1月30日,已被称义的基督徒会活在罪中吗,https://www.youtube.com/watch?v=Dd0e3RHoMNM,罗马书 6:1-4,https://www.biblegateway.com/passage/?search=romans6:1-4&version=CUVS;NKJV,Mike Whittle 牧师
18,2022年1月23日,四个简单的途径让你享受当下,https://www.youtube.com/watch?v=_XchGrGmZIg,传道书 9:7-11,https://www.biblegateway.com/passage/?search=Ecclesiastes9:7-11&version=CUVS;NKJV,Mike Whittle 牧师
19,2022年1月16日,人类悲剧的解答,https://www.youtube.com/watch?v=X40FZl7YALs,罗马书 5:12-21,https://www.biblegateway.com/passage/?search=romans5:12-21&version=CUVS;NKJV,Mike Whittle 牧师
20,2022年1月9日,岂没有更多吗？,https://www.youtube.com/watch?v=G0X-6TTzhso,罗马书 5:9-11,https://www.biblegateway.com/passage/?search=romans5:9-11&version=CUVS;NKJV,Mike Whittle 牧师
21,2022年1月2日,选择，持守，奔跑,https://www.youtube.com/watch?v=ZsjVNa8oOmI,诗篇 119:30-32,https://www.biblegateway.com/passage/?search=Psalm119:30-32&version=CUVS;NKJV,Mike Whittle 牧师
22,2021年12月26日,赏赐者，礼物和接受者,https://www.youtube.com/watch?v=l0Ulo24S0-g,加拉太书 4:4-7,https://www.biblegateway.com/passage/?search=Galatians4:4-7&version=CUVS;NKJV,Mike Whittle 牧师
23,2021年12月19日,圣诞天使,https://www.youtube.com/watch?v=Mr8jwitNN-0,路加福音 1:26-38,https://www.biblegateway.com/passage/?search=Luke1:26-38&version=CUVS;NKJV,Mike Whittle 牧师
24,2021年12月12日,我如何能确定,https://www.youtube.com/watch?v=c7Yu4uKVheM,路加福音 1:8-25,https://www.biblegateway.com/passage/?search=Luke1:8-25&version=CUVS;NKJV,Mike Whittle 牧师
25,2021年12月5日,拯救世界的爱,https://www.youtube.com/watch?v=OgYmlPp1ToU,罗马书 5:6-8,https://www.biblegateway.com/passage/?search=romans5:6-8&version=CUVS;NKJV,Mike Whittle 牧师
26,2021年11月28日,健康的信徒,https://www.youtube.com/watch?v=-1TnJlFSjsg,诗篇 34,https://www.biblegateway.com/passage/?search=Psalm34&version=CUVS;NKJV,Mike Whittle 牧师
27,2021年11月21日,与神相和,https://www.youtube.com/watch?v=HEdNHLvvTlQ,罗马书 5:1-11,https://www.biblegateway.com/passage/?search=romans5:1-11&version=CUVS;NKJV,Mike Whittle 牧师
28,2021年11月14日,称恶人为义,https://www.youtube.com/watch?v=eC_10n9TV3I,罗马书 4:1-17,https://www.biblegateway.com/passage/?search=romans4:1-17&version=CUVS;NKJV,Mike Whittle 牧师
29,2021年11月7日,被上帝离弃,https://www.youtube.com/watch?v=Yi-3mePCDo0,马可福音 15:33-37,https://www.biblegateway.com/passage/?search=Mark15:33-37&version=CUVS;NKJV,Mike Whittle 牧师
30,2021年10月31日,重价的敬拜,https://www.youtube.com/watch?v=JcEHC08_5qU,撒母耳记下 24,https://www.biblegateway.com/passage/?search=2Samuel+24&version=CUVS;NKJV,Tim Grieves 牧师
31,2021年10月24日,没有可夸,https://www.youtube.com/watch?v=rrghDUwvDcc,罗马书 3:21-31,https://www.biblegateway.com/passage/?search=romans3:21-31&version=CUVS;NKJV,Mike Whittle 牧师
32,2021年10月17日,永生神的印,https://www.youtube.com/watch?v=LIp7UOPdszU,启示录 7:1-8,https://www.biblegateway.com/passage/?search=Revelation7:1-8&version=CUVS;NKJV,宋胜牧师
33,2021年10月10日,献上感恩的心,https://www.youtube.com/watch?v=DpjHj05Fknc,诗篇 100,https://www.biblegateway.com/passage/?search=Psalm100&version=CUVS;NKJV,Mike Whittle 牧师
34,2021年10月3日,纪念这鞭打,https://www.youtube.com/watch?v=42YjWFQoZ78,马可福音 15:15-20,https://www.biblegateway.com/passage/?search=Mark15:15-20&version=CUVS;NKJV,Mike Whittle 牧师
35,2021年9月26日,叫所有人哑口无言,https://www.youtube.com/watch?v=RE1RFjIDdaQ,罗马书 3:9-20,https://www.biblegateway.com/passage/?search=romans3:9-20&version=CUVS;NKJV,Mike Whittle 牧师
36,2021年9月19日,别转圈，要向前,https://www.youtube.com/watch?v=tyRpQutMirs,提摩太前书 6:3-21,https://www.biblegateway.com/passage/?search=1Timothy6:3-21&version=CUVS;NKJV,Mike Whittle 牧师
37,2021年9月12日,被掳的得释放,https://www.youtube.com/watch?v=RjDhcYyJ4DA,耶利米书 24:1-7,https://www.biblegateway.com/passage/?search=Jeremiah24:1-7&version=CUVS;NKJV,Mike Whittle 牧师
38,2021年9月5日,被耶稣吸引,https://www.youtube.com/watch?v=SOELBOjPsS8,约翰福音 12:37-46,https://www.biblegateway.com/passage/?search=john12:37-46&version=CUVS;NKJV,Mike Whittle 牧师
39,2021年8月29日,宗教的正确之处,https://www.youtube.com/watch?v=Tn69HG3bYEY,罗马书 3:1-4,https://www.biblegateway.com/passage/?search=romans3:1-4&version=CUVS;NKJV,Mike Whittle 牧师
40,2021年8月22日,宗教错在哪儿,https://www.youtube.com/watch?v=ixviDw2bUMQ,罗马书 2:17-29,https://www.biblegateway.com/passage/?search=romans2:17-29&version=CUVS;NKJV,Mike Whittle 牧师
41,2021年8月15日,好意铺就的地狱之路,https://www.youtube.com/watch?v=7Wefv2Sv_0I,罗马书 2:1-4,https://www.biblegateway.com/passage/?search=romans2:1-4&version=CUVS;NKJV,Mike Whittle 牧师
42,2021年8月8日,人远离神则神任凭人,https://www.youtube.com/watch?v=fGU8FpM43vU,罗马书 1:26-32,https://www.biblegateway.com/passage/?search=romans1:16-32&version=CUVS;NKJV,Mike Whittle 牧师
43,2021年8月1日,“钉十字架”,https://www.youtube.com/watch?v=o6YntRExc78,马可福音 15:1-32,https://www.biblegateway.com/passage/?search=Mark15:1-32&version=CUVS;NKJV,Mike Whittle 牧师
44,2021年7月25日,神明明可见,https://www.youtube.com/watch?v=GnTKlXUFxXc,罗马书 1:18-25,https://www.biblegateway.com/passage/?search=romans1:18-25&version=CUVS;NKJV,Mike Whittle 牧师
45,2021年7月18日,福音简言之,https://www.youtube.com/watch?v=qqIA7JFCLhw,约翰福音 3:16-21,https://www.biblegateway.com/passage/?search=john3:16-21&version=CUVS;NKJV,Keith Grant
46,2021年7月11日,义人必因信得生,https://www.youtube.com/watch?v=v76Z1XuNcqg,罗马书 1:17,https://www.biblegateway.com/passage/?search=romans1:17&version=CUVS;NKJV,Mike Whittle 牧师
